iter,emax,log_compression,n_live
158,-0.04957488020660029,-0.008333333333333333,120
159,-0.0495801442615724,-0.008333333333333333,120
160,-0.05234247096375468,-0.008333333333333333,120
161,-0.05285275438524696,-0.008333333333333333,120
162,-0.054377366139571705,-0.008333333333333333,120
163,-0.05628628792637063,-0.008333333333333333,120
164,-0.05666333847105508,-0.008333333333333333,120
165,-0.05758893984909148,-0.008333333333333333,120
166,-0.057681671901804454,-0.008333333333333333,120
167,-0.05796826194446165,-0.008333333333333333,120
168,-0.05897038012072789,-0.008333333333333333,120
169,-0.059235096653484684,-0.008333333333333333,120
170,-0.0594166779011955,-0.008333333333333333,120
171,-0.06069355022054957,-0.008333333333333333,120
172,-0.06077157638198355,-0.008333333333333333,120
173,-0.06118773947197977,-0.008333333333333333,120
174,-0.061249055981580446,-0.008333333333333333,120
175,-0.061407662744794894,-0.008333333333333333,120
176,-0.061795684036388354,-0.008333333333333333,120
177,-0.061927571229894736,-0.008333333333333333,120
178,-0.06220319090907428,-0.008333333333333333,120
179,-0.06241934341981991,-0.008333333333333333,120
180,-0.06321551396903433,-0.008333333333333333,120
181,-0.06339705463869258,-0.008333333333333333,120
182,-0.06371575714734462,-0.008333333333333333,120
183,-0.06406326313212138,-0.008333333333333333,120
184,-0.06490626170543631,-0.008333333333333333,120
185,-0.06558795362035405,-0.008333333333333333,120
186,-0.06606606229686476,-0.008333333333333333,120
187,-0.06698692165785602,-0.008333333333333333,120
188,-0.06760144183972892,-0.008333333333333333,120
189,-0.06897349788679022,-0.008333333333333333,120
190,-0.06923755613962557,-0.008333333333333333,120
191,-0.07028805223531746,-0.008333333333333333,120
192,-0.07067365673654989,-0.008333333333333333,120
193,-0.07069055108347057,-0.008333333333333333,120
194,-0.07190278567253076,-0.008333333333333333,120
195,-0.0722928527038909,-0.008333333333333333,120
196,-0.0750396176064187,-0.008333333333333333,120
197,-0.07602391024173429,-0.008333333333333333,120
198,-0.07673332619545876,-0.008333333333333333,120
199,-0.07691714096074385,-0.008333333333333333,120
200,-0.07736875913176472,-0.008333333333333333,120
201,-0.07805339046414925,-0.008333333333333333,120
202,-0.07807497809799958,-0.008333333333333333,120
203,-0.07832956526863405,-0.008333333333333333,120
204,-0.07901671046155945,-0.008333333333333333,120
205,-0.0793240683359544,-0.008333333333333333,120
206,-0.07953401872616114,-0.008333333333333333,120
207,-0.08043333467742443,-0.008333333333333333,120
208,-0.08137369781703602,-0.008333333333333333,120
209,-0.08196137229705101,-0.008333333333333333,120
210,-0.0821109699465666,-0.008333333333333333,120
